movie,return_ratio,year,tconst,genres,studio,averagerating,numvotes
Dunkirk,3.5993709866666665,2017,tt5013056,Drama,WB,7.9,466580
Dunkirk,3.5993709866666665,2017,tt5013056,History,WB,7.9,466580
Thor,3.2023816133333334,2011,tt0800369,Action,Par.,7.0,683264
Thor,3.2023816133333334,2011,tt0800369,Adventure,Par.,7.0,683264
Thor,3.2023816133333334,2011,tt0800369,Fantasy,Par.,7.0,683264
Kung Fu Panda 2,4.533910733333333,2011,tt1302011,Action,P/DW,7.2,228465
Kung Fu Panda 2,4.533910733333333,2011,tt1302011,Adventure,P/DW,7.2,228465
Kung Fu Panda 2,4.533910733333333,2011,tt1302011,Animation,P/DW,7.2,228465
Mad Max: Fury Road,2.4915624933333334,2015,tt1392190,Action,WB,8.1,780910
Mad Max: Fury Road,2.4915624933333334,2015,tt1392190,Adventure,WB,8.1,780910
Mad Max: Fury Road,2.4915624933333334,2015,tt1392190,Sci-Fi,WB,8.1,780910
Ready Player One,3.77986872,2018,tt1677720,Action,WB,7.5,301660
Ready Player One,3.77986872,2018,tt1677720,Adventure,WB,7.5,301660
Ready Player One,3.77986872,2018,tt1677720,Sci-Fi,WB,7.5,301660
The Last Airbender,2.00990712,2010,tt0938283,Action,Par.,4.1,137734
The Last Airbender,2.00990712,2010,tt0938283,Adventure,Par.,4.1,137734
The Last Airbender,2.00990712,2010,tt0938283,Family,Par.,4.1,137734
Wrath of the Titans,1.59293444,2012,tt1646987,Action,WB,5.7,172330
Wrath of the Titans,1.59293444,2012,tt1646987,Adventure,WB,5.7,172330
Wrath of the Titans,1.59293444,2012,tt1646987,Fantasy,WB,5.7,172330
Dark Shadows,1.1195321133333334,2012,tt1077368,Comedy,WB,6.2,229818
Dark Shadows,1.1195321133333334,2012,tt1077368,Fantasy,WB,6.2,229818
Dark Shadows,1.1195321133333334,2012,tt1077368,Horror,WB,6.2,229818
White House Down,0.85696114,2013,tt2334879,Action,Sony,6.4,191791
White House Down,0.85696114,2013,tt2334879,Drama,Sony,6.4,191791
White House Down,0.85696114,2013,tt2334879,Thriller,Sony,6.4,191791
The Wolfman,0.36549494666666665,2010,tt0780653,Drama,Uni.,5.8,97873
The Wolfman,0.36549494666666665,2010,tt0780653,Fantasy,Uni.,5.8,97873
The Wolfman,0.36549494666666665,2010,tt0780653,Horror,Uni.,5.8,97873
The Great Wall,1.5309597133333332,2017,tt7535780,Documentary,Uni.,6.5,24
Pan,0.24409528666666666,2015,tt3332064,Adventure,WB,5.8,55867
Pan,0.24409528666666666,2015,tt3332064,Comedy,WB,5.8,55867
Pan,0.24409528666666666,2015,tt3332064,Family,WB,5.8,55867
Mars Needs Moms,-0.59371656,2011,tt1305591,Adventure,BV,5.4,19823
Mars Needs Moms,-0.59371656,2011,tt1305591,Animation,BV,5.4,19823
Mars Needs Moms,-0.59371656,2011,tt1305591,Family,BV,5.4,19823
