id,movie,production_budget,domestic_gross,worldwide_gross,year,month,return_ratio
26,The Croods,135000000.0,187168425.0,573068425.0,2013,March,4.631384074074074
27,The Revenant,135000000.0,183637894.0,532938302.0,2015,December,4.307971822222222
28,The World is Not Enough,135000000.0,126930660.0,361730660.0,1999,November,2.6197134814814813
29,Rango,135000000.0,123477607.0,245724600.0,2011,March,1.734831162962963
30,Master and Commander: The Far Side of the World,135000000.0,93926386.0,212912137.0,2003,November,1.2728779481481483
31,Turbo,135000000.0,83028130.0,286896578.0,2013,July,1.7401830222222223
32,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601.0,245328374.0,2016,June,1.425036851851852
33,Happy Feet Two,135000000.0,64006466.0,157956466.0,2011,November,0.6441698666666666
34,Miami Vice,135000000.0,63478838.0,163818556.0,2006,July,0.6836844
35,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,2018,November,0.6941516177577126
36,War of the Worlds,132000000.0,234280354.0,606836535.0,2005,June,5.372097643939394
37,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,2014,November,2.4113139545454545
38,The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,2013,November,8.919508415384616
39,Harry Potter and the Prisoner of Azkaban,130000000.0,249757726.0,796907323.0,2004,June,7.051269607692308
40,The Bourne Ultimatum,130000000.0,227471070.0,444043396.0,2007,August,4.165495892307693
41,Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0,2018,July,5.45994923076923
42,Kung Fu Panda,130000000.0,215434591.0,631910531.0,2008,June,5.5180394
43,Ant-Man,130000000.0,180202163.0,518858449.0,2015,July,4.377389323076923
44,Home,130000000.0,177397510.0,385997896.0,2015,March,3.3338108153846155
45,Mary Poppins Returns,130000000.0,171958438.0,341528518.0,2018,December,2.9498996615384616
46,Puss in Boots,130000000.0,149260504.0,554987477.0,2011,October,4.4172921615384615
47,Megamind,130000000.0,148415853.0,321887208.0,2010,November,2.617715853846154
48,Bad Boys II,130000000.0,138540870.0,273271982.0,2003,July,2.167791169230769
49,Rio 2,130000000.0,131538435.0,492846291.0,2014,April,3.802959430769231
50,Salt,130000000.0,118311368.0,290650494.0,2010,July,2.145860476923077
51,Noah,130000000.0,101200044.0,352831065.0,2014,March,2.4925469923076924
52,The Adventures of Tintin,130000000.0,77591831.0,373993951.0,2011,December,2.473736784615385
53,After Earth,130000000.0,60522097.0,251499665.0,2013,May,1.4001674
