title_id,ordering,title,is_original_title
tt2014346,1,Somebody Up There Likes Me,1.0
tt2016242,1,Délibáb,1.0
tt2024386,3,D-Humanos,1.0
tt2032572,18,USS Indianapolis: Men of Courage,1.0
tt2033219,3,Burning Man: Rites of Passage,1.0
tt2036388,18,Io sono Li,1.0
tt2040578,8,U.F.O.,1.0
tt2043774,1,Als ik jou niet had,1.0
tt2043817,1,Der Weisse Schatz und die Salzarbeiter von Caquena,1.0
tt2044012,6,Tahrir 2011,1.0
tt2044064,1,Tierra de los Padres,1.0
tt2044739,2,Am Ende des Tages,1.0
tt2049472,3,Another Way,1.0
tt2055572,2,Farq saba'a sa'at,1.0
tt2056508,3,Akaneiro no yakusoku: Sanba da kingyo,1.0
tt2061607,2,Underground Hip-hop in China,1.0
tt2062668,1,The Happiness Matrix,1.0
tt2063014,1,Red Butterfly,1.0
tt2064905,2,Prank,1.0
tt2066857,6,Da lan hu,1.0
tt2070803,3,Lycka till och ta hand om varandra,1.0
tt2073071,2,Sayounara UR,1.0
tt2075223,2,J.A.C.E.,1.0
tt2076393,1,Yoole (Le sacrifice),1.0
tt2078733,7,Sover Dolly på ryggen?,1.0
tt2081158,2,Adams Ende,1.0
tt2081167,3,Amazing Love,1.0
tt2082280,1,Für Elise,1.0
tt2082469,4,A Louder Silence,1.0
tt2084078,1,Bu she fang,1.0
tt2084827,8,Estrada de Palha,1.0
