movie,return_ratio,year,tconst,genres,studio
Grown Ups,4.789661546666666,2010,tt1375670,Comedy,Sony
Now You See Me,5.139909186666666,2013,tt1670345,"Crime,Mystery,Thriller",LG/S
Immortals,2.93421936,2011,tt1253864,"Action,Drama,Fantasy",Rela.
Killers,0.9017694933333333,2010,tt1103153,"Action,Comedy,Romance",LGF
Sucker Punch,0.68201188,2011,tt0978764,"Action,Adventure,Fantasy",WB
Inferno,2.384839213333333,2016,tt3062096,"Action,Adventure,Crime",Sony
Minions,19.221377608108106,2015,tt2293640,"Adventure,Animation,Comedy",Uni.
The SpongeBob Movie: Sponge Out of Water,5.405502878378378,2015,tt2279373,"Adventure,Animation,Comedy",Par.
Olympus Has Fallen,2.8829502857142857,2013,tt2302755,"Action,Thriller",FD
War Horse,2.381412685714286,2011,tt1568911,"Drama,History,War",BV
The Monuments Men,2.3819195428571427,2014,tt2177771,"Comedy,Drama,History",Sony
Storks,2.6576101285714286,2016,tt4624424,"Adventure,Animation,Comedy",WB
Dracula Untold,2.9461943285714285,2014,tt0829150,"Action,Drama,Fantasy",Uni.
The Dilemma,0.7003165,2011,tt1578275,"Comedy,Drama",Uni.
Rock of Ages,0.4221506428571429,2012,tt1336608,"Comedy,Drama,Musical",WB (NL)
The Finest Hours,0.0974617,2016,tt2025690,"Action,Drama,History",BV
Escape Plan,0.8410275714285714,2013,tt1211956,"Action,Crime,Mystery",LG/S
Killer Elite,0.2933433142857143,2011,tt1448755,"Action,Crime,Thriller",ORF
The Legend of Hercules,0.1114551,2014,tt1043726,"Action,Adventure,Fantasy",LG/S
Blackhat,-0.6047002285714286,2015,tt2717822,"Action,Crime,Thriller",Uni.
Despicable Me,10.521428376811594,2010,tt1323594,"Animation,Comedy,Family",Uni.
Dinner for Schmucks,1.3162730289855074,2010,tt0427152,Comedy,P/DW
Red Sparrow,1.7945850144927535,2018,tt2873282,"Action,Drama,Thriller",Fox
The Twilight Saga: Eclipse,13.803449691176471,2010,tt1325004,"Adventure,Drama,Fantasy",Sum.
Ted 2,3.3925077647058823,2015,tt2637276,Comedy,Uni.
Hall Pass,0.9446207205882353,2011,tt0480687,"Comedy,Romance",WB (NL)
Downsizing,0.16048125,2017,tt1389072,"Drama,Sci-Fi",Par.
Abraham Lincoln: Vampire Hunter,1.592723985185185,2012,tt1611224,"Action,Fantasy,Horror",Fox
Need for Speed,2.602092818181818,2014,tt2369135,"Action,Crime,Thriller",BV
Lincoln,6.008526984615385,2012,tt0443272,"Biography,Drama,History",BV
Hotel Transylvania 3: Summer Vacation,9.685846984615385,2018,tt5220122,"Adventure,Animation,Comedy",Sony
Unbroken,3.2948572153846154,2014,tt1809398,"Biography,Drama,Sport",Uni.
Due Date,3.8042782461538462,2010,tt1231583,"Adventure,Comedy",WB
The Dictator,2.6892172153846152,2012,tt1645170,Comedy,Par.
This Means War,2.257466892307692,2012,tt1596350,"Action,Comedy,Romance",Fox
Resident Evil: Retribution,3.353740923076923,2012,tt1855325,"Action,Horror,Sci-Fi",SGem
"I, Frankenstein",0.4407781538461538,2014,tt1418377,"Action,Fantasy,Horror",LGF
Hop,3.71020473015873,2011,tt1411704,"Adventure,Animation,Comedy",Uni.
American Assassin,0.6596795873015873,2017,tt1961175,"Action,Thriller",LGF
The Hateful Eight,2.257779064516129,2015,tt3460252,"Crime,Drama,Mystery",Wein.
Gone Girl,7.792366852459017,2014,tt2267998,"Drama,Mystery,Thriller",Fox
Maze Runner: The Scorch Trials,5.4305467868852455,2015,tt4046784,"Action,Sci-Fi,Thriller",Fox
2 Guns,2.4115651639344264,2013,tt1272878,"Action,Comedy,Crime",Uni.
Maze Runner: The Death Cure,4.310016049180327,2018,tt4500922,"Action,Sci-Fi,Thriller",Fox
Sully,5.059909816666667,2016,tt3263904,"Biography,Drama",WB
Eat Pray Love,3.7862133166666667,2010,tt0879870,"Drama,Romance",Sony
Jack Reacher,3.9573578666666664,2012,tt0790724,"Action,Crime,Thriller",Par.
Contagion,2.55349485,2011,tt1598778,"Action,Drama,Thriller",WB
London Has Fallen,3.29530575,2016,tt3300542,"Action,Thriller",Focus
Jack Reacher: Never Go Back,2.644059416666667,2016,tt3393786,"Action,Thriller",Par.
Baywatch,2.8987328166666666,2017,tt1469304,"Action,Comedy,Crime",Par.
Joy,1.6264215166666667,2015,tt2446980,Drama,Fox
ParaNorman,1.73537855,2012,tt1623288,"Adventure,Animation,Comedy",Focus
The Boxtrolls,1.7130592666666666,2014,tt0787474,"Adventure,Animation,Comedy",Focus
The Dark Tower,1.7360475333333334,2017,tt1648190,"Action,Adventure,Fantasy",Sony
Jack Ryan: Shadow Recruit,2.0325804,2014,tt1205537,"Action,Drama,Thriller",Par.
Vice,0.97865755,2018,tt6266538,"Biography,Comedy,Drama",Annapurna
Gangster Squad,1.5016967666666667,2013,tt1321870,"Action,Crime,Drama",WB
Smurfs: The Lost Village,3.0433144666666667,2017,tt2398241,"Adventure,Animation,Comedy",Sony
First Man,1.5023395,2018,tt1213641,"Biography,Drama,History",Uni.
Edge of Darkness,1.1021057666666667,2010,tt1226273,"Crime,Drama,Mystery",WB
